Action ID,Action Name,Action Definition,Action Source,MitigationCode
A0010_Bengio2025,Model Evaluation,"Processes to assess and measure an AI system's performance on a particular task.
There are countless AI evaluations to assess different capabilities and risks, including for security. ",Bengio2025,3.1 Testing & Auditing
A0011_Bengio2025,Red Teaming,"An exercise in which a group of people or automated systems pretend to be an adversary and attack an organisation’s systems in order to identify vulnerabilities.

",Bengio2025,3.1 Testing & Auditing
A0053_Eisenberg2025,Establish and apply performance testing and validation framework,"Implement comprehensive performance requirements, testing protocols, and validation procedures to ensure AI systems meet capability requirements and maintain reliable operation across intended use cases.",Eisenberg2025,3.1 Testing & Auditing
A0055_Eisenberg2025,Establish and apply fairness testing and validation framework,"Implement comprehensive procedures to validate model fairness during development and pre-deployment, including test dataset creation, metric definition, and systematic assessment of performance disparities across demographic groups.",Eisenberg2025,3.1 Testing & Auditing
A0063_Eisenberg2025,Implement adversarial testing and red team program,"Conduct systematic adversarial testing and red team exercises focused on probing AI system capabilities, identifying potential misuse vectors, and exposing unintended harmful behaviors. Testing should explore ways the system could be manipulated to produce dangerous outputs, bypass safety guardrails, or exhibit undesired emergent behaviors. Include scenarios involving both individual and coordinated attempts to exploit the system’s capabilities.",Eisenberg2025,3.1 Testing & Auditing
A0093_Future of Life Institute2024,Bug bounties for model vulnerabilities,Any programs offering financial rewards for flagging model vulnerabilities or dangerous use-cases.,Future of Life Institute2024,3.1 Testing & Auditing
A0109_Future of Life Institute2024,Early Warning Evaluations for Catastrophic Risks,Does your organization evaluate models during training for early warning signs of capabilities related to catastrophic risks to ensure risk thresholds are not exceeded? Please describe the regularity and scope of these evaluations and specify whether models are specifically fine-tuned to elicit the capabilities in question.,Future of Life Institute2024,3.1 Testing & Auditing
A0121_Future of Life Institute2024,Internal Audit Team,"Does your firm have an internal audit team tasked with overseeing the effectiveness of its risk management practices? If yes, please briefly describe the team's responsibilities, size, powers, reporting lines, and whether it is led by a chief audit executive in the leadership team. In your response, please mention whether the team is independent of senior management and reports directly to the board of directors.",Future of Life Institute2024,3.1 Testing & Auditing
A0137_Future of Life Institute2024,Pre-deployment external safety testing,"Any information related to external model audits. We specifically report information related to depth of model access, names of auditors, model versions, scope of evaluations, conflicts of interest, audit time and compensation.",Future of Life Institute2024,3.1 Testing & Auditing
A0147_Future of Life Institute2024,Regular third-party penetration testing,"Does your organization regularly task third-party cybersecurity penetration testers to find vulnerabilities in the infrastructure on which models are developed and deployed? If yes, please share the cumulative budget your firm has dedicated to external pen tests in 2023 and specify the regularity at which your firm invites external pen tests. Please indicate the cumulative budget for third-party physical pen tests in 2023 separately.",Future of Life Institute2024,3.1 Testing & Auditing
A0157_Future of Life Institute2024,Uplift trials,Information about human-participant trials conducted to assess the marginal risks of model-access.,Future of Life Institute2024,3.1 Testing & Auditing
A0165_Future of Life Institute2024,Dangerous capability evaluations,"This indicator reports on pre-deployment capability evaluations related to catastrophic risks. Model evaluations for other risks are not included here, as the empirical tests covered in the ‘Current Harms’ section provide a superior metric. Information includes evaluated risk domains, available information regarding model versions & task-specific fine-tuning, and relevant sources. We note that quality of evaluations may differ.",Future of Life Institute2024,3.1 Testing & Auditing
A0166_Future of Life Institute2024,Internal red teaming exercises for cybersecurity infrastructure,,Future of Life Institute2024,3.1 Testing & Auditing
A0177_Schuett2023,Bug bounty programs,"AGI labs should have bug bounty programs, i.e. recognize and compensate people for reporting unknown vulnerabilities and dangerous capabilities.",Schuett2023,3.1 Testing & Auditing
A0178_Schuett2023,Dangerous capability evaluations,"AGI labs should run evaluations to assess their models’ dangerous capabilities (e.g. misuse potential, ability to manipulate, and power-seeking behavior).",Schuett2023,3.1 Testing & Auditing
A0185_Schuett2023,Internal audit,"AGI labs should have an internal audit team, i.e. a team which assesses the effectiveness of the lab’s risk management practices. This team must be organizationally independent from senior management and report directly to the board of directors.",Schuett2023,3.1 Testing & Auditing
A0204_Schuett2023,Red teaming,AGI labs should commission external red teams before deploying powerful models.,Schuett2023,3.1 Testing & Auditing
A0213_Schuett2023,Third-party governance audits,AGI labs should commission third-party audits of their governance structures.*,Schuett2023,3.1 Testing & Auditing
A0214_Schuett2023,Third-party model audits,AGI labs should commission third-party model audits before deploying powerful models.,Schuett2023,3.1 Testing & Auditing
A0250_Wiener2024,Annual third-party audit,"The bill would require
a developer, beginning January 1, 2026, to annually retain a
third-party auditor to perform an independent audit of compliance
with those provisions, as prescribed. The bill would require the
auditor to produce an audit report, as prescribed, and would require
a developer to retain an unredacted copy of the audit report for as
long as the covered model is made available for commercial,
public, or foreseeably public use plus 5 years.",Wiener2024,3.1 Testing & Auditing
A0262_EU AI Office2025, Independent external assessors,"Before placing a GPAISR on the market, signatories commit to obtaining independent external systemic risk assessments, including model evaluations, unless the model can be deemed sufficiently safe. After placing the GPAISR on the market, signatories commit to facilitating exploratory independent external assessments, including model evaluations. ",EU AI Office2025,3.1 Testing & Auditing
A0277_Campos2025,Identification of unknown risks,"In addition to risk identification based on the literature, developers should engage in extensive open-ended red teaming efforts, conducted both internally and by third parties.",Campos2025,3.1 Testing & Auditing
A0339_Campos2025,Audits,"Audits are provided by internal auditors and/or external auditors. In both cases, they are independent from peer pressure dynamics occurring within the teams dealing with the risk.",Campos2025,3.1 Testing & Auditing
A0390_NIST2024,Risk Capability Evaluation,"Establish policies to evaluate risk-relevant capabilities of GAI and robustness of safety measures, both prior to deployment and on an ongoing basis, through internal and external evaluations.",NIST2024,3.1 Testing & Auditing
A0393_NIST2024,CBRN Testing Protocol ,"Establish a test plan and response policy, before developing highly capable models, to periodically evaluate whether the model may misuse CBRN information or capabilities and/or offensive cyber capabilities.",NIST2024,3.1 Testing & Auditing
A0413_NIST2024,Independent Evaluation Policy,Policies are in place to bolster oversight of GAI systems with independent evaluations or assessments of GAI models or systems where the type and robustness of evaluations are proportional to the identified risks.,NIST2024,3.1 Testing & Auditing
A0419_NIST2024,Standardized Measurement Protocols,"Establish policies, procedures, and processes detailing risk measurement in context of use with standardized measurement protocols and structured public feedback exercises such as AI red-teaming or independent external evaluations.",NIST2024,3.1 Testing & Auditing
A0432_NIST2024,Contract Evaluation Clauses,Include clauses in contracts which allow an organization to evaluate third-party GAI processes and standards.,NIST2024,3.1 Testing & Auditing
A0451_NIST2024,Content Flow Testing,"Institute test and evaluation for data and content flows within the GAI system, including but not limited to, original data sources, data transformations, and decision-making criteria.",NIST2024,3.1 Testing & Auditing
A0454_NIST2024,Output Accuracy Assessment,"Assess the accuracy, quality, reliability, and authenticity of GAI output by comparing it to a set of known ground truth data and by using a variety of evaluation methods (e.g., human oversight and automated evaluation, proven cryptographic techniques, review of content inputs).",NIST2024,3.1 Testing & Auditing
A0458_NIST2024,	Adversarial Testing Plans,Implement plans for GAI systems to undergo regular adversarial testing to identify vulnerabilities and potential manipulation or misuse.,NIST2024,3.1 Testing & Auditing
A0459_NIST2024,Lineage Understanding Evaluation,Evaluate whether GAI operators and end-users can accurately understand content lineage and origin.,NIST2024,3.1 Testing & Auditing
A0462_NIST2024,	Proficiency Test Delineation,Delineate human proficiency tests from tests of GAI capabilities.,NIST2024,3.1 Testing & Auditing
A0464_NIST2024,Stakeholder Testing Involvement,"Involve the end-users, practitioners, and operators in GAI system in prototyping and testing activities. Make sure these tests cover various scenarios, such as crisis situations or ethically sensitive contexts.",NIST2024,3.1 Testing & Auditing
A0471_NIST2024,Fine-Tuned Model Re-evaluation,Re-evaluate models that were fine-tuned or enhanced on top of third-party models.,NIST2024,3.1 Testing & Auditing
A0475_NIST2024,Provenance Testing Practices,"Apply TEVV practices for content provenance (e.g., probing a system's synthetic data generation capabilities for potential misuse or vulnerabilities.",NIST2024,3.1 Testing & Auditing
A0479_NIST2024,Adversarial Role-Playing,"Conduct adversarial role-playing exercises, GAI red-teaming, or chaos testing to identify anomalous or unforeseen failure modes.",NIST2024,3.1 Testing & Auditing
A0485_NIST2024,Demographic Metric Disaggregation,Disaggregate evaluation metrics by demographic factors to identify any discrepancies in how content provenance mechanisms work across diverse populations.,NIST2024,3.1 Testing & Auditing
A0486_NIST2024,Feedback Exercise Metrics,Develop a suite of metrics to evaluate structured public feedback exercises informed by representative AI Actors.,NIST2024,3.1 Testing & Auditing
A0487_NIST2024,Novel Risk Measurement Methods,"Evaluate novel methods and technologies for the measurement of GAI-related risks including in content provenance, offensive cyber, and CBRN, while maintaining the models' ability to produce valid, reliable, and factually accurate outputs.",NIST2024,3.1 Testing & Auditing
A0489_NIST2024, Data Quality Evaluation,"Evaluate the quality and integrity of data used in training and the provenance of AI-generated content, for example by employing techniques like chaos engineering and seeking stakeholder feedback.",NIST2024,3.1 Testing & Auditing
A0490_NIST2024,Feedback Exercise Use Cases,"Define use cases, contexts of use, capabilities, and negative impacts where structured human feedback exercises, e.g., GAI red-teaming, would be most beneficial for GAI risk measurement and management based on the context of use.",NIST2024,3.1 Testing & Auditing
A0493_NIST2024,External Evaluation Engagement,"Engage in internal and external evaluations, GAI red-teaming, impact assessments, or other structured human feedback exercises in consultation with representative AI Actors with expertise and familiarity in the context of use, and/or who are representative of the populations associated with the context of use.",NIST2024,3.1 Testing & Auditing
A0494_NIST2024,Feedback Independence Verification,Verify those conducting structured human feedback exercises are not directly involved in system development tasks for the same GAI model.,NIST2024,3.1 Testing & Auditing
A0499_NIST2024,Baseline Model Selection,Consider baseline model performance on suites of benchmarks when selecting a model for fine tuning or enhancement with retrieval-augmented generation.,NIST2024,3.1 Testing & Auditing
A0500_NIST2024,Capability Claims Evaluation,Evaluate claims of model capabilities using empirically validated methods,NIST2024,3.1 Testing & Auditing
A0502_NIST2024,Purpose-Built Testing Environment,Utilize a purpose-built testing environment such as NIST Dioptra to empirically evaluate GAI trustworthy characteristics.,NIST2024,3.1 Testing & Auditing
A0503_NIST2024,Performance Extrapolation Avoidance,"Avoid extrapolating GAI system performance or capabilities from narrow, non-systematic, and anecdotal assessments.",NIST2024,3.1 Testing & Auditing
A0511_NIST2024,Fine-Tuned Safety Re-evaluation,Re-evaluate safety features of fine-tuned models when the negative risk exceeds organizational risk tolerance.,NIST2024,3.1 Testing & Auditing
A0512_NIST2024,Generated Code Review,Review GAI system outputs for validity and safety: Review generated code to assess risks that may arise from unreliable downstream decision-making.,NIST2024,3.1 Testing & Auditing
A0515_NIST2024,Safety Circumvention Evaluation,Regularly evaluate GAI system vulnerabilities to possible circumvention of safety measures.,NIST2024,3.1 Testing & Auditing
A0517_NIST2024,Security Benchmarking,Benchmark GAI system security and resilience related to content provenance against industry standards and best practices. Compare GAI system security features and content provenance methods against industry state-of-the-art,NIST2024,3.1 Testing & Auditing
A0522_NIST2024,AI Red-Teaming Resilience,"Perform AI red-teaming to assess resilience against: Abuse to facilitate attacks on other systems (e.g., malicious code generation, enhanced phishing content), GAI attacks (e.g., prompt injection), ML attacks (e.g., adversarial examples/prompts, data poisoning, membership inference, model extraction, sponge examples).",NIST2024,3.1 Testing & Auditing
A0523_NIST2024,Fine-Tuning Security Verification,Verify fine-tuning does not compromise safety and security controls.,NIST2024,3.1 Testing & Auditing
A0531_NIST2024,Data Exposure Red-Teaming,"Conduct AI red-teaming to assess issues such as: Outputting of training data samples, and subsequent reverse engineering, model extraction, and membership inference risks; Revealing biometric, confidential, copyrighted, licensed, patented, personal, proprietary, sensitive, or trade-marked information; Tracking or revealing location information of users or members of training datasets.",NIST2024,3.1 Testing & Auditing
A0534_NIST2024,Bias Benchmark Application,"Apply use-case appropriate benchmarks (e.g., Bias Benchmark Questions, Real Hateful or Harmful Prompts, Winogender Schemas15) to quantify systemic bias, stereotyping, denigration, and hateful content in GAI system outputs; Document assumptions and limitations of benchmarks, including any actual or possible training/test data cross contamination, relative to in-context deployment environment.",NIST2024,3.1 Testing & Auditing
A0628_Barrett2024,Red-Team for Dangerous Behaviors,"Use red teams and adversarial testing as part of extensive interaction with GPAIS to
identify dangerous capabilities, vulnerabilities, or other emergent properties of such
systems
",Barrett2024,3.1 Testing & Auditing
A0647_Barrett2024,Detect & Share Incidents,"Organizational practices
are in place to enable
AI testing, identification
of incidents, and
information sharing.",Barrett2024,3.1 Testing & Auditing
A0672_Barrett2024,Involve Independent & External Assessors,"Internal experts who
did not serve as
front-line developers
for the system and/
or independent
assessors are involved
in regular assessments
and updates. Domain
experts, users, AI
actors external to the
team that developed
or deployed the AI
system, and affected
communities are
consulted in support
of assessments
as necessary per
organizational risk
tolerance.",Barrett2024,3.1 Testing & Auditing
A0674_Barrett2024,Ensure Ethical Human Evaluation,"Evaluations involving
human subjects meet
applicable requirements
(including human
subject protection) and
are representative of the
relevant population.",Barrett2024,3.1 Testing & Auditing
A0677_Barrett2024,Demonstrate Validity & Generalization Limits,"The AI system to
be deployed is
demonstrated to be
valid and reliable.
Limitations of the
generalizability beyond
the conditions under
which the technology
was developed are
documented.",Barrett2024,3.1 Testing & Auditing
A0678_Barrett2024,Evaluate Safety & Failure Modes,"The AI system is
evaluated regularly
for safety risks – as
identified in the Map
function. The AI
system to be deployed
is demonstrated to
be safe, its residual
negative risk does
not exceed the risk
tolerance, and it can
fail safely, particularly
if made to operate
beyond its knowledge
limits. Safety metrics
reflect system reliability
and robustness, real-
time monitoring, and
response times for AI
system failures.",Barrett2024,3.1 Testing & Auditing
A0684_Barrett2024,Evaluate TEVV Effectiveness,"Effectiveness of the
employed TEVV metrics
and processes in the
Measure function
are evaluated and
documented.",Barrett2024,3.1 Testing & Auditing
A0689_Barrett2024,Validate Trustworthiness with Expert Input  ,"Measurement results
regarding AI system
trustworthiness in
deployment context(s)
and across the AI
lifecycle are informed
by input from domain
experts and relevant
AI actors to validate
whether the system is
performing consistently
as intended. Results are
documented.",Barrett2024,3.1 Testing & Auditing
A0707_NIST2024,Harmful Bias and Homogenization Assessment ,"Conduct fairness assessments to measure systemic bias. Measure GAI system
performance across demographic groups and subgroups, addressing both
quality of service and any allocation of services and resources. Quantify harms
using: field testing with sub-group populations to determine likelihood of
exposure to generated content exhibiting harmful bias, AI red-teaming with
counterfactual and low-context (e.g., “leader,” “bad guys”) prompts. For ML
pipelines or business processes with categorical or numeric outcomes that rely
on GAI, apply general fairness metrics (e.g., demographic parity, equalized odds,
equal opportunity, statistical hypothesis tests), to the pipeline or business
outcome where appropriate; Custom, context-specific metrics developed in
collaboration with domain experts and affected communities; Measurements of
the prevalence of denigration in generated content in deployment (e.g., subsampling a fraction of traffic and manually annotating denigrating content)",NIST2024,3.1 Testing & Auditing
A0715_NIST2024,Confabulation; Information Integrity; Harmful Bias and Homogenization Measurement Error Models,"Create measurement error models for pre-deployment metrics to demonstrate
construct validity for each metric (i.e., does the metric effectively operationalize
the desired concept): Measure or estimate, and document, biases or statistical
variance in applied metrics or structured human feedback processes; Leverage
domain expertise when modeling complex societal constructs such as hateful
content. ",NIST2024,3.1 Testing & Auditing
A0718_NIST2024,Harmful Bias and Homogenization Evaluation,"Evaluate potential biases and stereotypes that could emerge from the AIgenerated content using appropriate methodologies including computational
testing methods as well as evaluating structured feedback input (AI Deployment, Domain Experts, End-Users, Operation and Monitoring, TEVV) ",NIST2024,3.1 Testing & Auditing
A0721_NIST2024,Information Integrity; Information Security,"Conduct adversarial testing at a regular cadence to map and measure GAI risks,
including tests to address attempts to deceive or manipulate the application of
provenance techniques or other misuses. Identify vulnerabilities and
understand potential misuse scenarios and unintended outputs (AI Deployment, Domain Experts, End-Users, Operation and Monitoring, TEVV) ",NIST2024,3.1 Testing & Auditing
A0722_NIST2024,Human-AI Configuration; Confabulation; Information Security,"Evaluate GAI system performance in real-world scenarios to observe its
behavior in practical environments and reveal issues that might not surface in
controlled and optimized testing environments.",NIST2024,3.1 Testing & Auditing
A0723_NIST2024,Information Integrity; Harmful Bias and Homogenization,"Implement interpretability and explainability methods to evaluate GAI system
decisions and verify alignment with intended purpose. (AI Deployment, Domain Experts, End-Users, Operation and Monitoring, TEVV) ",NIST2024,3.1 Testing & Auditing
A0727_NIST2024,Human-AI Configuration,"Monitor the robustness and effectiveness of risk controls and mitigation plans
(e.g., via red-teaming, field testing, participatory engagements, performance
assessments, user feedback mechanisms). (AI Development, AI Deployment, AI Impact Assessment, Operation and Monitoring)",NIST2024,3.1 Testing & Auditing
A0728_NIST2024,"CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content","Compare GAI system outputs against pre-defined organization risk tolerance,
guidelines, and principles, and review and test AI-generated content against
these guidelines. (AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring). ",NIST2024,3.1 Testing & Auditing
A0732_NIST2024,"CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content","Engage in due diligence to analyze GAI output for harmful content, potential
misinformation, and CBRN-related or NCII content. (AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring). ",NIST2024,3.1 Testing & Auditing
A0743_NIST2024,Data Privacy; Information Security; Value Chain and Component Integration; Harmful Bias and Homogenization,"Test GAI system value chain risks (e.g., data poisoning, malware, other software
and hardware vulnerabilities; labor practices; data privacy and localization
compliance; geopolitical alignment).",NIST2024,3.1 Testing & Auditing
A0744_NIST2024,Value Chain and Component Integration,"Re-assess model risks after fine-tuning or retrieval-augmented generation
implementation and for any third-party GAI models deployed for applications
and/or use cases that were not evaluated in initial testing.",NIST2024,3.1 Testing & Auditing
A0746_NIST2024,Information Integrity; Information Security; Value Chain and Component Integration,"Review various transparency artifacts (e.g., system cards and model cards) for
third-party models.",NIST2024,3.1 Testing & Auditing
A0757_NIST2024,Human-AI Configuration; Information Integrity,"Verify that AI Actors responsible for monitoring reported issues can effectively
evaluate GAI system performance including the application of content
provenance data tracking techniques, and promptly escalate issues for response.",NIST2024,3.1 Testing & Auditing
A0786_UK Government2023,Model Evaluation of Dangerous Capabilities,"Evaluate models for potential dangerous capabilities (i.e. capabilities that could cause substantial harm either from intentional misuse or accident). These capabilities could include but are not limited to: 1) Offensive cyber capabilities (e.g. producing code to exploit software vulnerabilities); 2) Deception and manipulation (e.g. lying effectively or convincing people to take costly
actions); 3) Capabilities that can assist users in developing, designing, acquiring, or using biological, chemical, or radiological weapons (e.g. helping users “troubleshoot” their efforts to produce biological weapons)
",UK Government2023,3.1 Testing & Auditing
A0787_UK Government2023,Model Evaluation of Controllability ,"Evaluate models for controllability issues (i.e. propensities to apply their capabilities in ways that neither the models’ users nor the models’ developers want). This could include, for example, autonomous replication and adaptation (i.e. capabilities that could allow a model to copy and run itself on other computer systems).",UK Government2023,3.1 Testing & Auditing
A0788_UK Government2023,Model Evaluation of Societal Harm,"Evaluate models for societal harms. These could include, for example, bias and discrimination (e.g. the risk that they produce content that reinforces harmful stereotypes or their potential discriminatory influence if used to inform decisions), recognising that ‘bias’ can be difficult to define and can be subject to different interpretations in different contexts.",UK Government2023,3.1 Testing & Auditing
A0789_UK Government2023,Model Evaluation of System Security ,Evaluate models for system security,UK Government2023,3.1 Testing & Auditing
A0791_UK Government2023,Evaluation of Predecessor Models ,"Before a frontier model is trained, evaluate predecessor or analogous models to understand how relevant properties (e.g. dangerous capabilities) scale with the overall size of the model. These preliminary evaluations can inform risk assessments.",UK Government2023,3.1 Testing & Auditing
A0792_UK Government2023,Pre-training and Fine-tuning of Models ,"During pre-training and fine-tuning, evaluate the model to detect signs of undesirable properties and identify inaccuracies in pretraining predictions. These evaluations could be undertaken at various pre-specified checkpoints, and could inform decisions about whether to pause or adjust the training process.",UK Government2023,3.1 Testing & Auditing
A0793_UK Government2023,Pre-Deployment Evaluations ,"After training, subject the model to extensive pre-deployment evaluations. These evaluations can inform decisions about whether and how to deploy the system, as well as allowing governments and potential users to make informed decisions about regulating or using the model. Their intensity will be proportional to the risk of the deployment, taking into account the model’s capabilities, novelty, expected domains of use, and number of individuals expected to be affected by it.",UK Government2023,3.1 Testing & Auditing
A0794_UK Government2023,Post-Deployment Evaluations ,"After deployment, conduct evaluations at regular intervals to identify new capabilities and associated risks, especially when notable developments (e.g. a major update to the model) suggest earlier evaluations have become obsolete. Post-deployment evaluations can inform decisions to update the system’s safeguards, increase security around the model, temporarily limit access, or roll back deployment.",UK Government2023,3.1 Testing & Auditing
A0795_UK Government2023,Context-Specific Model Evaluations,"Require organisations who deploy their models to conduct context-specific model evaluations. This requires that the information and data required to successfully conduct such assessments is provided to deployers.
",UK Government2023,3.1 Testing & Auditing
A0796_UK Government2023,Independent Evaluation with Subject Matter Expertise,"Ensure that evaluators are independent and have sufficient AI and subject matter expertise across a wide range of relevant subjects and backgrounds. External evaluators’ relationships with frontier AI organisations could be structured to minimise conflicts of interest and encourage independence of judgement as far as practically possible. As well as expertise in AI, there are many other areas of subject matter expertise that will be needed to evaluate an AI system’s features. For instance, experts on topics as wide as fairness, psychological harm, and catastrophic risk will be needed.",UK Government2023,3.1 Testing & Auditing
A0798_UK Government2023,Sufficient Time for External Evaluators,"Give external evaluators sufficient time. As expected risks from models increase or models get more complex to evaluate, the time afforded for evaluation may need to increase as well.",UK Government2023,3.1 Testing & Auditing
A0804_UK Government2023,Development and testing of Model Evaluation Methods,"Support the development and testing of model evaluation methods. For many relevant properties of models, there do not yet exist accepted evaluation methods. It also remains unclear how reliable or predictive current evaluation methods are. This could involve frontier AI organisations developing model evaluation methods themselves or facilitating the efforts of others, such as by providing access to capable infrastructure for evaluation.",UK Government2023,3.1 Testing & Auditing
A0821_UK Government2023,Model Robustness to Adversarial Attacks,"Evaluate the robustness of models to different classes of adversarial attack (such as poisoning, model inversion and model stealing), based on priorities derived from threat modelling. This could involve a combination of benchmarking and red teaming.",UK Government2023,3.1 Testing & Auditing
A0837_UK Government2023,Release After Security Evaluations,"Only release models after they have been through security evaluations, including benchmarking and red teaming.",UK Government2023,3.1 Testing & Auditing
A0871_UK Government2023,Evaluation Research,"Improving our ability to assess the capabilities, limitations, and safety- relevant features of AI systems",UK Government2023,3.1 Testing & Auditing
A0893_UK Government2023,Evaluation of Different Content Filters,"Explore and compare the efficacy of multiple approaches to developing content filters. This may involve comparing available methods, such as those in the following section; selecting the most effective ones; and applying them in combination if doing so substantially increases efficacy. Best practice could be shared with other frontier AI organisations or published broadly.",UK Government2023,3.1 Testing & Auditing
A0907_UK Government2023,Monitoring and Safeguard Efficacy ,"Regularly assess monitoring and safeguard efficacy and continually invest in improvements. Regular assessment of monitoring efficacy can build an understanding of the success rate and speed of issue detection, on which deployment decisions may be based. These assessments may draw, for instance, on the results of internal and external red-teaming efforts, random audits of usage logs, what may be ‘best practice’, as well as available information about real-world misuse. Risks are expected to increase as AI capabilities increase. Hence, active increases in investment in safety, security, and monitoring may be valuable.",UK Government2023,3.1 Testing & Auditing
A0923_UK Government2023,Data Audits for AI System Behavior ,"Use data audits to improve understanding of how training data affects AI system behaviour. For example, if model evaluations reveal a potentially dangerous capability, data audits can help ascertain the extent to which the training data contributed to it.",UK Government2023,3.1 Testing & Auditing
A0924_UK Government2023,Data Audits for AI System Behavior ,"Use data audits to improve understanding of how training data affects AI system behaviour. For example, if model evaluations reveal a potentially dangerous capability, data audits can help ascertain the extent to which the training data contributed to it.",UK Government2023,3.1 Testing & Auditing
A0942_Gipiškis2024,Scope red-teaming activities based on deploy- ment context,"Red-teaming activities can be tailored and compared based on the specific deployment circumstances of an AI system. This involves adapting the scope, depth, and focus of red-teaming efforts to match the intended use case, potential risks, and operational context of the AI system.
Points of consideration include:
• The diversity of potential users and use cases
• The sensitivity and impact of the application domain
• The scale of deployment and potential reach
• Known vulnerabilities or concerns specific to the model or similar systems",Gipiškis2024,3.1 Testing & Auditing
A0943_Gipiškis2024,Red teaming to test the resilience of open-weights models to fine-tuning,"Before the release of open-weights models, red teamers can test the resilience of safety training against fine-tuning. Safety training may be partially or fully overridden by fine-tuning intentionally (e.g., by malicious actors) or uninten- tionally (e.g., by fine tuning an AI model for a specific use case) ",Gipiškis2024,3.1 Testing & Auditing
A0945_Gipiškis2024,Audits with specific scoped goals,"Audits of AI systems will be easier to perform, and have clearer results if the scope and goals of the evaluation are formulated as precisely as possible [157], or have a connection to concrete existing policy.",Gipiškis2024,3.1 Testing & Auditing
A0946_Gipiškis2024,Evaluating explainability method sensitivity to data inputs and model parameters,"Model parameter and data randomization tests can be employed as sanity checks [2] to determine the relationship between a model, its inputs, and the explainability method. If an explanation is independent from or insensitive to the underlying model or the input data, it would indicate a lack of reliability of the explainability method.",Gipiškis2024,3.1 Testing & Auditing
A0949_Gipiškis2024,Testing for erroneous or irrelevant features through concept learning,"Interpretability techniques, particularly concept learning [77], can be used to test whether a model is learning erroneous features or relying on irrelevant features in its predictions. This can help identify and mitigate potential risks associated with incorrect or non-informative features influencing the model’s outputs.",Gipiškis2024,3.1 Testing & Auditing
A0953_Gipiškis2024,Evaluations for truthful outputs,"AI systems can be evaluated for truthfulness when answering questions, includ- ing in contexts where humans tend to give incorrect but widely-accepted answers (i.e., popular misconceptions). Evaluations detect incorrect facts learned about the world, inadequate capabilities of the AI system, and misleading outputs by the AI system [121].",Gipiškis2024,3.1 Testing & Auditing
A0954_Gipiškis2024,Interpretability techniques that target deception,"Interpretability techniques can be used for finding the root causes of outputs of an AI model that reliably lead to false beliefs for its users (e.g., deceptive behavior) [180]. It is often difficult to distinguish a deceptive AI model from an honest AI model, since absence of deception and very sophisticated (hard to detect) deception may appear behaviorally similar. Interpretability techniques and tools can be used to detect whether AI model outputs arise from internal computations representing deception. This can apply in cases of purposely trained deception by the developer or if it emerges unintentionally during training. These interpretability tools can come from mechanistic interpretability, such as identification of features involved in generating the outputs, or attribution of parts of the input most important in generating the output [129].",Gipiškis2024,3.1 Testing & Auditing
A0955_Gipiškis2024,Benchmarks for Situational Awareness,"A model is situationally aware if it internally represents that it is a machine learning model and if it can accurately infer or act on model-relevant facts - e.g., if it is currently in training, testing, evaluation or deployment, or the desired outcome of an evaluation. Some benchmarks exist for situational awareness of AI models, which test whether the AI models can classify stereotypical inputs from training, test- ing, evaluation and deployment as such, and whether the AI model can use this information correctly to take actions in the world [25, 111].
",Gipiškis2024,3.1 Testing & Auditing
A0956_Gipiškis2024,Evaluating AI systems’ performance on self-proliferation-related tasks,"To prevent AI systems from self-proliferating, developers of AI systems can evaluate those systems for their capability to engage in self-proliferation-related tasks. This type of evaluation might assess an AI system’s ability to replicate its com- ponents (including model weights, structural scaffolding, etc.) onto other local or cloud infrastructures prior to deployment. Additionally, it may test the system’s capacity to purchase cloud credits and configure virtual machines on a cloud platform. The evaluation could offer a predefined environment (such as a virtual container) to facilitate self-replication, providing access to the system’s own components, a network connection to a resource-equipped external computer, and other necessary resources [12, 106].
Self-proliferation evaluations can be conducted in a secure environment to pre- vent a self-replicating AI system from affecting other computers.",Gipiškis2024,3.1 Testing & Auditing
A0958_Gipiškis2024,Employing qualitative assessments in difficult- to-measure domains,Qualitative evaluation can be used in cases when quantitative measurement is not feasible. This can give additional insights about the system which would not be available if no measurement was performed due to its difficulty [206].,Gipiškis2024,3.1 Testing & Auditing
A0981_Gipiškis2024,Encouraging downstream provider to evaluate models for deployment-specific failure modes,"In some cases, AI system deployers are better positioned to perform certain risk management measures on the AI model in a provided AI system, relative to upstream model providers. For example, they understand their use case better and are more easily able to predict foreseeable misuse or failure modes. These evaluations can inform upstream model providers, or inform supplementary mitigations by the deployer.",Gipiškis2024,3.1 Testing & Auditing
A0987_Gipiškis2024,Sandboxing of AI Systems,"AI systems can be developed and tested within a sandbox, (a secure and iso- lated environment used for separating running programs), such that outside access to information within the sandbox is restricted. Within this environ- ment, resources such as storage and memory space, and network access, would be disallowed or heavily restricted [15]. With sandboxing, dangerous or harmful outputs generated during testing will be contained.",Gipiškis2024,3.1 Testing & Auditing
